rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
3471,Kepler-960 b,Kepler-960,3.12686223,,,0.03807,0.0,0.72,0.77
3472,Kepler-949 b,Kepler-949,8.689307296,,,0.07739,0.0,0.86,0.89
3473,Kepler-950 b,Kepler-950,98.7180406,,,0.3982,0.0,1.02,1.02
3474,Kepler-983 b,Kepler-983,60.0855082,,,0.3148,0.0,1.08,1.13
3475,Kepler-984 b,Kepler-984,43.0342272,,,0.23688,0.0,0.93,0.96
3476,Kepler-971 b,Kepler-971,9.59070716,,,0.08679,0.0,0.85,0.88
3477,Kepler-972 b,Kepler-972,7.03932553,,,0.0734,0.0,1.22,1.15
3478,Kepler-973 b,Kepler-973,49.6077331,,,0.2489,0.0,0.78,0.86
3479,Kepler-974 b,Kepler-974,4.194496514,,,0.0419,0.0,0.5,0.52
3480,Kepler-975 b,Kepler-975,1.970342457,,,0.02898,0.0,0.75,0.8
3481,Kepler-976 b,Kepler-976,105.9564148,,,0.4217,0.0,0.83,0.87
3482,TRAPPIST-1 e,TRAPPIST-1,6.101013,108.37,,0.02925,0.0051,0.1192,0.0898
3483,Kepler-1437 b,Kepler-1437,10.9295461,,,0.0951,0.0,0.9,0.93
3484,Kepler-1424 b,Kepler-1424,29.6091744,,,0.19068,0.0,1.07,1.02
3485,Kepler-1425 b,Kepler-1425,14.4541302,,,0.11435,0.0,0.95,0.97
3486,Kepler-1426 b,Kepler-1426,14.2563227,,,0.1187,0.0,1.02,1.02
3487,Kepler-1427 b,Kepler-1427,0.968972376,,,0.0197,0.0,1.01,1.01
3488,Kepler-1428 b,Kepler-1428,10.67607169,,,0.11051,0.0,1.36,1.28
3489,Kepler-977 b,Kepler-977,26.85328322,,,0.162,0.0,0.83,0.87
3490,Kepler-994 b,Kepler-994,1.151166506,,,0.0177,0.0,0.54,0.56
3491,Kepler-995 b,Kepler-995,28.26731672,,,0.1701,0.0,0.8,0.83
3492,Kepler-996 b,Kepler-996,3.770590584,,,0.0474,0.0,1.14,1.09
3493,Kepler-997 b,Kepler-997,2.707306716,,,0.04022,0.0,1.56,1.22
3494,Kepler-1429 b,Kepler-1429,4.48487493,,,0.055,0.0,1.07,1.05
3495,TRAPPIST-1 b,TRAPPIST-1,1.510826,336.86,,0.01154,0.00622,0.1192,0.0898
3496,TRAPPIST-1 c,TRAPPIST-1,2.421937,282.45,,0.0158,0.00654,0.1192,0.0898
3497,TRAPPIST-1 d,TRAPPIST-1,4.049219,-8.73,,0.02227,0.00837,0.1192,0.0898
3498,Kepler-938 b,Kepler-938,52.6298417,,,0.2689,0.0,0.89,0.92
3499,Kepler-939 b,Kepler-939,14.878296,,,0.1153,0.0,0.85,0.88
3500,Kepler-940 b,Kepler-940,59.6225257,,,0.3059,0.0,0.96,0.97
3501,Kepler-930 b,Kepler-930,71.4517775,,,0.34593,0.0,1.4,1.25
3502,Kepler-931 b,Kepler-931,8.03755877,,,0.0719,0.0,0.81,0.86
3503,Kepler-932 b,Kepler-932,1.921437396,,,0.02876,0.0,0.84,0.87
3504,Kepler-933 b,Kepler-933,14.20443009,,,0.1041,0.0,0.84,0.87
3505,Kepler-943 b,Kepler-943,49.7701438,,,0.2559,0.0,0.91,0.93
3506,Kepler-935 b,Kepler-935,4.88083852,,,0.0527,0.0,0.73,0.78
3507,Kepler-922 b,Kepler-922,0.938466832,,,0.01795,0.0,0.93,0.95
3508,Kepler-923 b,Kepler-923,6.93366476,,,0.07592,0.0,1.26,1.11
3509,Kepler-924 b,Kepler-924,61.0370117,,,0.31318,0.0,1.23,1.14
3510,Kepler-925 b,Kepler-925,33.8678531,,,0.1805,0.0,0.72,0.77
3511,Kepler-926 b,Kepler-926,52.0688601,,,0.2739,0.0,1.01,1.01
3512,Kepler-927 b,Kepler-927,9.1149903,,,0.0866,0.0,0.99,0.99
3513,Kepler-937 c,Kepler-937,153.343364,,,0.5545,0.0,1.22,1.15
3514,Kepler-198 d,Kepler-198,1.31184443,,,0.02342,0.0,0.93,0.97
3515,Kepler-967 c,Kepler-967,198.7112502,,,0.6253,0.0,0.8,0.84
3516,Kepler-968 b,Kepler-968,3.692983728,,,0.0389,0.0,0.7,0.76
